Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
TAT-G13.5-350-V,ដបលេខកូដ​ TATឈ្មោះដបGrand ទំងន់ 13.5 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
Stocks-20L,ឆ្នុកធុង 20លីត្រ,4,2,,,5,,,,,,,,,,,,,,,
BS-EV0-005-G,Blue Swimmer(BS)(ទឹកត្រីរូបក្តាមសេះ),4,ដប,,,5,,,,,,,,,,,,,,,
DO-5L,ប្រេងខ្យងនាគចំណុះ5L,4,កេស,,,5,,,,,,,,,,,,,,,
MA-EV0-004-D,Match All(MA)(ទឹកស៊ីអ៊ីវ​ ម៉ាច់អល),4,គីឡូ,,,5,,,,,,,,,,,,,,,
DT13-450-B-m,ដបមូលលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 450 ml ពណ៌ខៀវ(B)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
LMS-15-350-V-G,ដបលេខកូដ​ LMSឈ្មោះ ទំងន់ 15 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V).,4,ដប,,,5,,,,,,,,,,,,,,,
TN13.5-V-KG,ឡតលេខកូដ TN ទំងន់13.5​ ក្រាមពណ៌វីតា(V).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
Caps-009-OISO-UNIT,គំរបទឹកក្រូចស្តង់ដា,4,គំរប,,,5,,,,,,,,,,,,,,,
DT13-450-W-G,ដបលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 450 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
Caps-004-V-small,គំរបវីតាល់ធម្មតា(200),4,ថង់តូច,,,5,,,,,,,,,,,,,,,
DT12.5-450B,ដបលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 450 ml ពណ៌ខៀវ(B)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
TAT-G13.5-350-V-D,ដបលេខកូដ​ TATឈ្មោះដបGrand ទំងន់ 13.5 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
DT33-750-W,ដបមូលលេខកូដ​ DT ទំងន់ 33 ក្រាម​ ចំណុះ 750 ml ពណ៌ស(W)(168),4,1,,,5,,,,,,,,,,,,,,,
BV-15.2-320-W,ដបលេខកូដ​ BV ទំងន់ 15.2 ក្រាម​ ចំណុះ 320 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
DT-PW12.5-330-B,ដបលេខកូដ​ DTឈ្មោះដប Pure Water(PW) ទំងន់ 12.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ខៀវ(B)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
MA-EV0-004-G,Match All(MA)(ទឹកស៊ីអ៊ីវ​ ម៉ាច់អល),4,ដប,,,5,,,,,,,,,,,,,,,
dt13-450-w-m,ដបមូលលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 450 ml ពណ៌ស(W).,4,1,,,5,,,,,,,,,,,,,,,
Caps-010-GISO,គំរបបៃតងស្តង់ដា(10000),4,បាវ,,,5,,,,,,,,,,,,,,,
DT13-B,ឡតលេខកូដ DT ទំងន់13​ ក្រាមពណ៌ខៀវ(B)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
LMS-F17-500-V,ដបលេខកូដ​ LMSឈ្មោះដបFeeling(F) ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(224),4,ថង់,,,5,,,,,,,,,,,,,,,
TN13.5-W,ឡតលេខកូដ TN ទំងន់13.5​ ក្រាមពណ៌ស(W)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
Caps-004-V-UNIT,គំរបវីតាល់ធម្មតា,4,គំរប,,,5,,,,,,,,,,,,,,,
DT12.5-450B-D,ដបលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 450 ml ពណ៌ខៀវ(B)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TAT-G13.5-350-V-G,ដបលេខកូដ​ TATឈ្មោះដបGrand ទំងន់ 13.5 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V).,4,ដប,,,5,,,,,,,,,,,,,,,
DT33-750-W-D,ដបមូលលេខកូដ​ DT ទំងន់ 33 ក្រាម​ ចំណុះ 750 ml ពណ៌ស(W)(ខូច),4,2,,,5,,,,,,,,,,,,,,,
BV-15.2-320-W-D,ដបលេខកូដ​ BV ទំងន់ 15.2 ក្រាម​ ចំណុះ 320 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
DT-PW12.5-330-B-D,ដបលេខកូដ​ DTឈ្មោះដប Pure Water(PW) ទំងន់ 12.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ខៀវ(B)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
MT-DNT17.5-500-W,ដបលេខកូដ​ MTឈ្មោះដបDanatech(DNT) ទំងន់ 17.5 ក្រាម​ ចំណុះ 500 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
Chhnok,ឆ្នុកកន្ទុមរុយ,4,2,,,5,,,,,,,,,,,,,,,
Caps-010-GISO-big,គំរបបៃតងស្តង់ដា(1000),4,ថង់ធំ,,,5,,,,,,,,,,,,,,,
DT13-B-KG,ឡតលេខកូដ DT ទំងន់13​ ក្រាមពណ៌ខៀវ(B),4,គីឡូ,,,5,,,,,,,,,,,,,,,
LMS-F17-500-V-D,ដបលេខកូដ​ LMSឈ្មោះដបFeeling(F) ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TN13.5-W-KG,ឡតលេខកូដ TN ទំងន់13.5​ ក្រាមពណ៌ស(W).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
Caps-005-WUST,គំរបសលាតUST(10000),4,បាវ,,,5,,,,,,,,,,,,,,,
DT12.5-450B-G,ដបលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 450 ml ពណ៌ខៀវ(B).,4,ដប,,,5,,,,,,,,,,,,,,,
TAT-G14.5-350-V,ដបលេខកូដ​ TATឈ្មោះដបGrand ទំងន់ 14.5 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
Caps-015-W-WIKA,គំរបស WIKA (10000),4,6,,,5,,,,,,,,,,,,,,,
BV-15.2-320-W-G,ដបលេខកូដ​ BV ទំងន់ 15.2 ក្រាម​ ចំណុះ 320 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
DT-PW12.5-330-B-G,ដបលេខកូដ​ DTឈ្មោះដប Pure Water(PW) ទំងន់ 12.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ខៀវ(B).,4,ដប,,,5,,,,,,,,,,,,,,,
MT-DNT17.5-500-W-D,ដបលេខកូដ​ MTឈ្មោះដបDanatech(DNT) ទំងន់ 17.5 ក្រាម​ ចំណុះ 500 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
VAN 20L(100),វ៉ាន 20 លីត្រ(១០០),4,1,,,5,,,,,,,,,,,,,,,
Caps-010-GISO-Small,គំរបបៃតងស្តង់ដា(200),4,ថង់តូច,,,5,,,,,,,,,,,,,,,
DT13-SPP-300-W,ដបSPPលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 300 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
LMS-F17-500-V-G,ដបលេខកូដ​ LMSឈ្មោះដបFeeling(F) ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V).,4,ដប,,,5,,,,,,,,,,,,,,,
TN15-V,ឡតលេខកូដ TN ទំងន់15​ ក្រាមពណវីតាល់(V)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
Caps-005-WUST-big,គំរបសលាតUST(1000),4,ថង់ធំ,,,5,,,,,,,,,,,,,,,
DT12.5-B,ឡតលេខកូដ DT ទំងន់12.5​ ក្រាមពណ៌ខៀវ(B)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
DT13.5-B-KG,ឡតលេខកូដ DT ទំងន់13.5​ ក្រាមពណ៌ខៀវ(B),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TAT-G14.5-350-V-D,ដបលេខកូដ​ TATឈ្មោះដបGrand ទំងន់ 14.5 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V)(ខូច),4,KG,,,5,,,,,,,,,,,,,,,
Caps-015-W-WIKA-UNIT,គំរបស WIKA,4,3,,,5,,,,,,,,,,,,,,,
BV15.2-W,ឡតលេខកូដ BV ទំងន់15.2 ក្រាមពណស(W)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
DT-PW12.5-330-W,ដបលេខកូដ​ DTឈ្មោះដប Pure Water(PW) ទំងន់ 12.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
MT-DNT17.5-500-W-G,ដបលេខកូដ​ MTឈ្មោះដបDanatech(DNT) ទំងន់ 17.5 ក្រាម​ ចំណុះ 500 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
VAN 20L-UNIT,វ៉ាន 20 លីត្រ,4,5,,,5,,,,,,,,,,,,,,,
Caps-010-GISO-UNIT,គំរបបៃតងស្តង់ដា,4,គំរប,,,5,,,,,,,,,,,,,,,
DT13-SPP-300-W-D,ដបSPPលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 300 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
LMS-G15-500-V,ដបលេខកូដ​ LMSឈ្មោះដបGrand(G) ទំងន់ 15 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
TN15-V-KG,ឡតលេខកូដ TN ទំងន់15​ ក្រាមពណវីតាល់(V).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
Caps-005-WUST-small,គំរបសលាតUST(200),4,ថង់តូច,,,5,,,,,,,,,,,,,,,
DT12.5-B-KG,ឡតលេខកូដ DT ទំងន់12.5​ ក្រាមពណ៌ខៀវ(B),4,គីឡូ,,,5,,,,,,,,,,,,,,,
DT13.5-W,ឡតលេខកូដ DT ទំងន់13.5​ ក្រាមពណ៌ស(W)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
TAT-G14.5-350-V-G,ដបលេខកូដ​ TATឈ្មោះដបGrand ទំងន់ 14.5 ក្រាម​ ចំណុះ 350 ml ពណ៌វីតាល់(V).,4,ដប,,,5,,,,,,,,,,,,,,,
LMS-SA-17-500-V,ដបលេខកូដ​ LMSឈ្មោះSA ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(200),4,1,,,5,,,,,,,,,,,,,,,
BV15.2-W-KG,ឡតលេខកូដ BV ទំងន់15.2 ក្រាមពណស(W).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
DT-PW12.5-330-W-D,ដបលេខកូដ​ DTឈ្មោះដប Pure Water(PW) ទំងន់ 12.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
MT17.5-W,ឡតលេខកូដ TM ទំងន់17.5​ ក្រាមពណ៌ស(W)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
STEMP-005,តែម A1,4,4,,,5,,,,,,,,,,,,,,,
Caps-011-RISO,គំរបក្រហមស្តង់ដា(10000),4,បាវ,,,5,,,,,,,,,,,,,,,
DT13-SPP-300-W-G,ដបSPPលេខកូដ​ DT ទំងន់ 13 ក្រាម​ ចំណុះ 300 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
LMS-G15-500-V-D,ដបលេខកូដ​ LMSឈ្មោះដបGrand(G) ទំងន់ 15 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TN15-W,ឡតលេខកូដ TN ទំងន់15​ ក្រាមពណស(W)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
Caps-005-WUST-UNIT,គំរបសលាតust,4,គំរប,,,5,,,,,,,,,,,,,,,
DT12.5-SPP-300-W,ដបSPPលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 300 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
DT13.5-W-KG,ឡតលេខកូដ DT ទំងន់13.5​ ក្រាមពណ៌ស(W),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TAT-PW13.5-330-W,ដបលេខកូដ​ TATឈ្មោះដបPure Water(PW) ទំងន់ 13.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
LMS-SA-17-500-V-D,ដបលេខកូដ​ LMSឈ្មោះSA ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(ខូច),4,2,,,5,,,,,,,,,,,,,,,
BV16-V,ឡតលេខកូដ BV ទំងន់16​ ក្រាមពណវីតាល់(V)(25kg),4,បាវ,,,5,,,,,,,,,,,,,,,
DT-PW12.5-330-W-G,ដបលេខកូដ​ DTឈ្មោះដប Pure Water(PW) ទំងន់ 12.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
MT20-W,ឡតលេខកូដ MT ទំងន់20​ ក្រាមពណស(W)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
Son tak,សន្ទះលើ,4,2,,,5,,,,,,,,,,,,,,,
Caps-011-RISO-big,គំរបក្រហមស្តង់ដា(1000),4,ថង់ធំ,,,5,,,,,,,,,,,,,,,
DT13-W,ឡតលេខកូដ DT ទំងន់13​ ក្រាមពណ៌ស(W)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
LMS-G15-500-V-G,ដបលេខកូដ​ LMSឈ្មោះដបGrand(G) ទំងន់ 15 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V).,4,ដប,,,5,,,,,,,,,,,,,,,
TN15-W-KG,ឡតលេខកូដ TN ទំងន់15​ ក្រាមពណស(W).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
Caps-006-BUST,គំរបខៀវលាតUST(10000),4,បាវ,,,5,,,,,,,,,,,,,,,
DT12.5-SPP-300-W-D,ដបSPPលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 300 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
DTT-19-600-W,ដបលេខកូដ​ DTTទំងន់ 19 ក្រាម​ ចំណុះ 600 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
TAT-PW13.5-330-W-D,ដបលេខកូដ​ TATឈ្មោះដបPure Water(PW) ទំងន់ 13.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
06LMS17-V,06ឡតលេខកូដ LMS ទំងន់17​ ក្រាមពណវីតាល់(V)(30kg),4,6,,,5,,,,,,,,,,,,,,,
BV16-V-KG,ឡតលេខកូដ BV ទំងន់16​ ក្រាមពណវីតាល់(V).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
DT-PW13-330-B,ដបលេខកូដ​ DTឈ្មោះដប Pure Water(PW) ទំងន់ 13 ក្រាម​ ចំណុះ 330 ml ពណ៌ខៀវ(B)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
MT20-W-KG,ឡតលេខកូដ MT ទំងន់20​ ក្រាមពណស(W).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
KAK,កាក់,4,2,,,5,,,,,,,,,,,,,,,
Caps-011-RISO-small,គំរបក្រហមស្តង់ដា(200),4,ថង់តូច,,,5,,,,,,,,,,,,,,,
DT13-W-KG,ឡតលេខកូដ DT ទំងន់13​ ក្រាមពណ៌ស(W).,4,គីឡូ,,,5,,,,,,,,,,,,,,,
LMS-MV17-500-V,ដបលេខកូដ​ LMSឈ្មោះដបMy Village(MV) ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(224),4,ថង់,,,5,,,,,,,,,,,,,,,
TPT12.5-435-W,ដបលេខកូដ​ TPT ទំងន់ 12.5 ក្រាម​ ចំណុះ 435 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
Caps-006-BUST-big,គំរបខៀវលាតUST(1000),4,ថង់ធំ,,,5,,,,,,,,,,,,,,,
DT12.5-SPP-300-W-G,ដបSPPលេខកូដ​ DT ទំងន់ 12.5 ក្រាម​ ចំណុះ 300 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
DTT-19-600-W-D,ដបលេខកូដ​ DTTទំងន់ 19 ក្រាម​ ចំណុះ 600 ml ពណ៌ស(W)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TAT-PW13.5-330-W-G,ដបលេខកូដ​ TATឈ្មោះដបPure Water(PW) ទំងន់ 13.5 ក្រាម​ ចំណុះ 330 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
06LMS17-V-KG,06ឡតលេខកូដ LMS ទំងន់17​ ក្រាមពណវីតាល់(V).,4,2,,,5,,,,,,,,,,,,,,,
Caps-001-WDT,គំរបសលាតDT(10000),4,បាវ,,,5,,,,,,,,,,,,,,,
DT-PW13-330-B-D,ដបលេខកូដ​ DTឈ្មោះដប Pure Water(PW) ទំងន់ 13 ក្រាម​ ចំណុះ 330 ml ពណ៌ខៀវ(B)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
STEMP-001,តែមហ្រ្គេនGrand,4,សន្លឹក,,,5,,,,,,,,,,,,,,,
PLA12.5-W,ឡតលេខកូដPLAទំងន់12.5​ ក្រាមពណ៌ស(W)(30kg),4,6,,,5,,,,,,,,,,,,,,,
Caps-011-RISO-UNIT,គំរបក្រហមស្តង់ដា,4,គំរប,,,5,,,,,,,,,,,,,,,
DT13.5-B,ឡតលេខកូដ DT ទំងន់13.5​ ក្រាមពណ៌ខៀវ(B)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
LMS-MV17-500-V-D,ដបលេខកូដ​ LMSឈ្មោះដបMy Village(MV) ទំងន់ 17 ក្រាម​ ចំណុះ 500 ml ពណ៌វីតាល់(V)(ខូច),4,គីឡូ,,,5,,,,,,,,,,,,,,,
TPT12.5-435-W-D,ដបលេខកូដ​ TPT ទំងន់ 12.5 ក្រាម​ ចំណុះ 435 ml ពណ៌ស(W)(ខូច),4,KG,,,5,,,,,,,,,,,,,,,
Caps-006-BUST-small,គំរបខៀវលាតUST(200),4,ថង់តូច,,,5,,,,,,,,,,,,,,,
DT12.5-W,ឡតលេខកូដ DT ទំងន់12.5​ ក្រាមពណ៌ស(W)(30kg),4,បាវ,,,5,,,,,,,,,,,,,,,
DTT-19-600-W-G,ដបលេខកូដ​ DTTទំងន់ 19 ក្រាម​ ចំណុះ 600 ml ពណ៌ស(W).,4,ដប,,,5,,,,,,,,,,,,,,,
TAT13.5-435-W,ដបលេខកូដ​ TAT ទំងន់ 13.5 ក្រាម​ ចំណុះ 435 ml ពណ៌ស(W)(200),4,ថង់,,,5,,,,,,,,,,,,,,,
STEMP-002,តែមរ៉េនធិច,4,សន្លឹក,,,5,,,,,,,,,,,,,,,
PLA12.5-W-KG,ឡតលេខកូដ PLA ទំងន់12.5​ ក្រាមពណ៌ស(W),4,2,,,5,,,,,,,,,,,,,,,
TN32-W,ឡតលេខកូដ TN ទំងន់32​ ក្រាមពណ៌ស(W)(25kg),4,6,,,5,,,,,,,,,,,,,,,
Caps-001-WDT-Big,គំរបសលាតDT(1000),4,ថង់ធំ,,,5,,,,,,,,,,,,,,,
